,ItemLink,Price,Name,Image,Condition,Model,UPC,Brand,EAN,MPN,Type,Product Line,Operating System,Screen Size,Operating System Edition,Processor Speed,Processor Type,Graphics Processing Type,Memory,Storage Type,Color,Features,Hard Drive Capacity,Seller Notes,Memory (RAM),Primary Drive,Processor Configuration,Storage,Hardware Connectivity,Optical Drive,SSD Capacity,Accessories,Release Year,Resolution,RAM,Display Technology,Monitor Screen Size,Weight,Dimensions,Recovery Tool,AirPort Extreme wireless LAN (802.11a/b/g/n),Bluetooth,Product Family,Webcam / Mic,GPU/Video Card,Manufacturer warranty,Bundle Listing,Country/Region of Manufacture,OS notice,Solid State,Backlit Keyboard,Graphics,WiFi Wireless,Battery AC Adapter,Condition Note,Condition Description,Shell Condition,Hard Drive CD DVD,weight,OS,Performance,Item Condition,Storage capacity,Touch Screen Function,Serial Number,Country of Manufacture,Charger Included,ProcessorType&Speed,ItemIncluded1,Notes3,R2 Condition,Memory RAM,Manufacturer,Processor,Warranty - Parts,Warranty - Labor,Manufacturer Warranty,HDD Caddy,Battery,CPU Model,Storage Expansion,SSD,Screen Resolution,Marque,Numéro de pièce fabricant,REF,Modèle,Country Of Manufacture,Release Date_Display,Title,location,ID,Outlets,Processor Model,Unit of Measure,Product Type,Maximum Memory,Processor Supported,Brand Name,Graphics Memory Accessibility,DisplayPort,Connectivity,ScreenSize,Keyboard Type,WWAN,WiFi,CF-30 / CF 31 CADDY GENUINE,Contract,Compatible Brand,DVDRW,Items Included,COLOR,Touchscreen,SKU,sku,DELL LATITUDE,Hard Drive,Processor Manufacturer,Product Model,Solid State Drive,Manufacturer Part Number,ISBN,Number of Cells,Weight (Approximate),Product Series,Standard Memory,Solid State Drive Capacity,Graphics Controller Model,HDMI,Hard Drive Type,Bundled Items,Graphics Card,OperatingSystem,Binding,ProductGroup,HardwarePlatform,Charger,Size,Style,Capacity
0,http://www.ebay.com/itm/ASUS-11-Inch-Q200E-Laptop-OLD-VERSION/122736962623?hash=item1c93b16c3f%3Ag%3AbScAAOSwmCVY%7E95A,$239.00,ASUS 11-Inch Q200E Laptop [OLD VERSION],https://i.ebayimg.com/images/g/bScAAOSwmCVY~95A/s-l300.jpg,Used,Q200E-BSI3T08,886227392254,Asus,0886227392254,Q200E-BSI3T08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,http://www.ebay.com/itm/Samsung-ATIV-Book-9-Lite-NP905S3G-UltraBook-Quad-Core-1-4GHz-4GB-RAM-128-SSD/122736963781?epid=2209947830&hash=item1c93b170c5%3Ag%3AARQAAOSw8w1X9WyD,$239.00,Samsung ATIV Book 9 Lite NP905S3G UltraBook Quad Core 1.4GHz 4GB RAM 128 SSD,https://i.ebayimg.com/images/g/ARQAAOSw8w1X9WyD/s-l300.jpg,Used,ATIV Book 9 Lite,Does not apply,Samsung,,,Ultrabook,ATIV Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://www.ebay.com/itm/HP-Envy-m6-n010dx-15-6-Touch-Screen-Laptop-AMD-A10-6GB-RAM-750GB-HDD-Windows-10/122738137786?epid=219964855&hash=item1c93c35aba%3Ag%3ASy4AAOSwarNZrGfw,$318.00,"HP Envy m6-n010dx 15.6"" Touch-Screen Laptop AMD A10 6GB RAM 750GB HDD Windows 10",https://i.ebayimg.com/images/g/Sy4AAOSwarNZrGfw/s-l500.jpg,Used,m6-n010dx,0888793207031,HP,,G3R12UAR,Notebook/Laptop,ENVY,Windows 8.1,15.6in.,Home Premium,2.50GHz,AMD A10 Quad-Core,Integrated/On-Board Graphics,6GB,HDD (Hard Disk Drive),Silver,"Built-in Webcam, Touchscreen",750GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://www.ebay.com/itm/HP-Compaq-Presario-F700-15-4-Notebook-Laptop-Does-Not-Boot-For-Parts/132224662817?hash=item1ec9343d21%3Ag%3AtnMAAOSwJH1ZNuNh,$19.98,"HP Compaq Presario F700 15.4"" Notebook/Laptop (Does Not Boot) *For Parts*",https://i.ebayimg.com/images/g/tnMAAOSwJH1ZNuNh/s-l500.jpg,For parts or not working,F700,Does not apply,HP/Compaq,,Does Not Apply,Notebook/Laptop,Presario,Not Included,"15.4""",,Unknown,Unknown,,None,,,,None,"This has been tested and it does not power on. We are selling this for parts only. There are heavy scuffs/scratches from use, unit is missing one key and the LCD screen and lid are both heavily damaged. Note that this does NOT include hard drive, memory, battery, or AC power adapter. Please refer to the pictures for more details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://www.ebay.com/itm/LG-Laptop-PC-Ultralight-14UD360-LX1FK-PENTIUM-Quad-Core-N-3700/151926379473?hash=item235f8493d1%3Ag%3A4OYAAOSwo3pWe6Oo,$631.69,LG Laptop PC Ultralight 14UD360-LX1FK PENTIUM Quad Core N 3700,https://i.ebayimg.com/images/g/4OYAAOSwo3pWe6Oo/s-l500.jpg,New,,Does not apply,LG,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://www.ebay.com/itm/HP-Probook-450-G2-21284056-64bit-DDR1600-500GB-GDD-SATA3/151926388886?hash=item235f84b896%3Ag%3A-JkAAOSwhkRWe6dY,"$1,075.22",HP Probook 450 G2-21284056 64bit DDR1600 500GB GDD(SATA3),https://i.ebayimg.com/images/g/-JkAAOSwhkRWe6dY/s-l500.jpg,New,,Does not apply,HP,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://www.ebay.com/itm/HP-Elite-Book-850-G2-P5D77PA-i7-5600U-8GB-256GB-SSD-Win7-Pro-Laptop-Notebook/151926391791?hash=item235f84c3ef%3Ag%3Af1QAAOSw5IJWe6iB,"$1,990.91",HP Elite Book 850 G2-P5D77PA i7-5600U 8GB 256GB SSD Win7 Pro Laptop Notebook,https://i.ebayimg.com/images/g/f1QAAOSw5IJWe6iB/s-l500.jpg,New,,Does not apply,HP,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://www.ebay.com/itm/Toshiba-A10-15-4-Laptop-Untested-Missing-Parts-AS-IS/151972507161?hash=item2362446e19%3Ag%3AzGUAAOSwJb9WsmAP,$69.99,"Toshiba A10 15.4"" Laptop Untested Missing Parts AS IS",https://i.ebayimg.com/images/g/zGUAAOSwJb9WsmAP/s-l500.jpg,For parts or not working,,,Toshiba,,A10,,,,,,,,,,,,,,"This laptop is in decent condition but is missing the following parts: Battery, power adapter, hard drive, hard drive caddy and hard drive cover.  Other than that this is in pretty good condition.  UNTESTED LAPTOP AS IS NO RETURNS!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://www.ebay.com/itm/SAMSUNG-Notebook9-NT900X5L-K38PS-Lite-Laptop-Windows10-128GB-SSD-6th-i3/151980218582?epid=2256036063&hash=item2362ba18d6%3Ag%3Ah2cAAOSwG-1WvCZ7,"$1,062.22",SAMSUNG Notebook9 NT900X5L-K38PS Lite Laptop Windows10 128GB SSD 6th i3,https://i.ebayimg.com/images/g/h2cAAOSwG-1WvCZ7/s-l500.jpg,New,NT900X5L-K38PS,Does not apply,SAMSUNG,,NT900X5L-K38PS,,,,,,,,,,,white and black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://www.ebay.com/itm/LENOVO-New-Thinkpad-X1-Carbon-LAPTOP-20FB001QKR-Core-i5-6200U-RAM-8G/152070878713?hash=item23682175f9%3Ag%3A1KoAAOSwM0FXIc0A,"$1,778.45",LENOVO New Thinkpad X1 Carbon LAPTOP 20FB001QKR / Core i5-6200U / RAM 8G,https://i.ebayimg.com/images/g/1KoAAOSwM0FXIc0A/s-l500.jpg,New,,Does not apply,Lenovo,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
