ItemLink,Price,Name,Image,Condition,Product Family,Memory,Brand,Storage Type,Screen Size,Hard Drive Capacity,Release Year,Type,Processor Speed,Graphics Processing Type,Product Line,Model,MPN,Operating System,Operating System Edition,Color,Processor Type,Seller Notes,Features,Hardware Connectivity,SSD Capacity,Country/Region of Manufacture,UPC,Bundle Listing,Storage capacity,Optical Drive,Touch Screen Function,Keyboard Type,Bluetooth,Screen Resolution,WWAN,WiFi,Charger Power Cord,Included,AC Adapter,Hard Drive,Guarantee,EAN,GPU/Video Card,Primary Drive,Processor Configuration,Number of Cells,Limited Warranty,Standard Memory,Weight (Approximate),Manufacturer,Product Series,Memory Technology,Processor Model,Country of Origin,Height,Width,Aspect Ratio,Depth,Battery Chemistry,Processor Core,Input Voltage,Environmentally Friendly,Country of Manufacture,Graphics Card,Ports,Optical Drive & More,Video Card,Touch Screen,Memory (RAM),Network,Webcam,Processor Manufacturer,Intel Processor Generation,Display Size,Resolution,Processor,Form Factor Type,Storage Capacity,Display Type,Drive Type,RAM Memory,Weight,HARD DRIVE,Includes,Release Date_Display,Processor Cores,Microsoft,Recovery Tool,Bundled Items2,Bundled Items3,Included with purchase,Serial Number,RAM,ItemIncluded2,ItemIncluded3,Notes3,R2 Condition,Notes4,ItemIncluded1,Notes5,Control State,Graphics card,Compatible Model,Tank Capacity,Water Type,Bulb Type,Application,Bundled Items,Optical,Battery,Touchscreen,2.6ghz Quad Core Processor,Max. Expandability,Best By,Battery AC Adapter,Shell Condition,Keyboard Bezel Touchpad,Condition Note,Condition Description,Hard Drive CD DVD,Regency Use,Acc Included,Model Number,# of Cores,Description,Wireless,Ethernet,Graphics Chipset,OS,Warranty,ISBN,Stock ID,Compatible Product,Style,Dimensions,Label,OperatingSystem,Binding,ProductGroup,ProductTypeSubcategory,HardwarePlatform,Restore Partition,cosmetic imperfections,Connectivity,Hard Drive Caddy,Wireless Card,"Office 365/2016,Mcafee Antivirus(1 year)",Series,USB,Number of Cores,Other Ports,Wi-Fi,Power Adapter,Items Included,Other Goodies,Processor Specifications,Seller part number,Form Factor,Model (Substitutes),Operating System License,Compatible Brand,Compatible Product Line,Ram,Bundled Items4,Bundled Items1,Bundled Items5,Marque,Type de processeur,Famille de produits,Mémoire,Numéro de pièce fabricant,Capacité de disque dur,Couleur,Type de stockage,Taille d'écran,Système d'exploitation,Vitesse du processeur,Année de sortie,Power Supply,Dedicated Graphics,Battery Life,BRAND,Internet Connectivity,Description1,Product Type,Contract,Carrier,SOLD AS IS,MONITOR,Memory Size,Cooling Component(s) Included,Chipset/GPU Manufacturer,Chipset/GPU Model,Connectors,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System Architecture,Product Model,Graphics Controller Manufacturer,Graphics Memory Accessibility,Front Camera/Webcam,Flash Memory,Widescreen,Colour,Manufacturer warranty,ScreenSize,Product Dimensions,Storage,Stylus,Platform,Format,Language,Size,Size Type,Chassis Type,EBAY_CATEGORY_ID,Hard Drive 1,Port,Keyboard,Feature,Adapter,Accssesories,Product Dimension,Condition Grade,HDMI Ports,DVD,Ac Adapter,Title,REF,Modèle,S.No,S/N,BATTERY,COA STICKER,Gr,Item Location,Ports/Interfaces,Length,EBAY_CATEGORY_SUGGESTION
http://www.ebay.com/itm/Macbook-Pro-15-2011/132348336071?hash=item1ed09357c7%3Ag%3AesMAAOSwsPlZ0YW%7E,$77.73,"Macbook Pro 15"" 2011",https://i.ebayimg.com/images/g/esMAAOSwsPlZ0YW~/s-l300.jpg,For parts or not working,MacBook Pro,8GB,Apple,HDD (Hard Disk Drive),"15""",500GB,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Dell-Latitude-E6500-Intel-Core-2-Duo-2-53GHz-4GB-RAM-80GB-Win10-Pro/132348407422?hash=item1ed0946e7e%3Ag%3Ag8sAAOSw3z5Z0Zmw,$99.00,Dell Latitude E6500 Intel Core 2 Duo 2.53GHz 4GB RAM 80GB Win10 Pro ,https://i.ebayimg.com/images/g/g8sAAOSw3z5Z0Zmw/s-l300.jpg,Used,,4GB,Dell,HDD (Hard Disk Drive),15.4,80GB,,Notebook/Laptop,2.53 GHz,Dedicated Graphics,Latitude,E6500,Latitude E6500 Laptop,Windows 10,Professional,Black,Intel Core 2 Duo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/L-K-Samsung-Laptop-RV515-4GB-RAM-320-Hard-Drive-15-6-Screen/132348411708?hash=item1ed0947f3c%3Ag%3AAesAAOSwjRpZXTsV,$125.00,"L@@K.. Samsung Laptop RV515  4GB RAM 320 Hard Drive 15.6"" Screen",https://i.ebayimg.com/images/g/AesAAOSwjRpZXTsV/s-l300.jpg,Used,,4MB,Samsung,HDD (Hard Disk Drive),15.6in. Back lit,320GB,,Notebook/Laptop,,Integrated/On-Board Graphics,,RV-515,,Windows 7,,Silver,AMD Duel core E-450,Very Good Condition,Built-in Webcam,"DisplayPort, HDMI, USB 2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Acer-Aspire-One-NAV50-netbook/132348414605?hash=item1ed0948a8d%3Ag%3AA94AAOSwl4lZ0Zod,$25.00,Acer Aspire One NAV50 netbook,https://i.ebayimg.com/images/g/A94AAOSwl4lZ0Zod/s-l300.jpg,Used,,,Acer,HDD (Hard Disk Drive),10.1in.,,,Netbook,1.66GHz,Dedicated Graphics,Aspire One,,,Windows 7,Starter,Blue,Intel Atom,Does have Cracked screen on left side.  Replacement screens are available for this model online.,Built-in Webcam,"DisplayPort, USB 2.0",250GB,China,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Hp-Chromebook-2010-11-6-inch/132348434897?hash=item1ed094d9d1%3Ag%3AMCoAAOSwBgtZvo4q,$85.00,Hp Chromebook 2010 11.6 inch,https://i.ebayimg.com/images/g/MCoAAOSwBgtZvo4q/s-l300.jpg,Used,,,HP,,,,2010,,,,Chromebook,,,Chrome OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-pavilion-dv4z-14-1-500GB-RM-74-2-20GHz-HDMI-4GB-Win7-Win10-OFFICE2016/132348436025?epid=118251455&hash=item1ed094de39%3Ag%3AOi8AAOSw2tRZc6BJ,$129.00,"HP pavilion dv4z   14.1""(500GB,RM-74, 2.20GHz,HDMI,4GB) Win7 & Win10  OFFICE2016",https://i.ebayimg.com/images/g/Oi8AAOSw2tRZc6BJ/s-l300.jpg,Used,,4GB,HP,HDD (Hard Disk Drive),14.1in.,250GB,2009,Notebook/Laptop,2.20GHz,Integrated/On-Board Graphics,Pavilion,dv4z,NB200UA#ABA,Windows Vista,Home Premium,Gray,AMD RM-74,"“USED,WEAR AND SCRATCHES ALL OVER THE BODY from everyday use.14.1"" HD LCD screen clear and sharp....PLEASE PREVIEW ALL THE PICTURES.ALSO LISTED LOCALLY.IF SOLD ,WILL PULL FROM THE E-BAY LISTING.”",,"HDMI, USB 2.0",Not Applicable,China,0884420679783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Apple-MacBook-Pro-A1278-13-3-Laptop-MC700LL-A-Early-2011/132348453973?hash=item1ed0952455%3Ag%3AQhAAAOSwEvhZ0aGK,$250.00,"Apple MacBook Pro A1278 13.3"" Laptop - MC700LL/A (Early 2011)",https://i.ebayimg.com/images/g/QhAAAOSwEvhZ0aGK/s-l300.jpg,Used,MacBook Pro,4GB,Apple,HDD (Hard Disk Drive),13.3in.,320GB,2011,,2.30GHz,,,,,"macOS 10.12, Sierra",,Silver,Intel Core i5 2nd Gen.,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-laptop-15-f387WM-15-6-touch-screen/132348508749?hash=item1ed095fa4d%3Ag%3A0u4AAOSw28pZ0b9r,$250.00,"HP laptop 15-f387WM 15.6"" touch screen",https://i.ebayimg.com/images/g/0u4AAOSw28pZ0b9r/s-l300.jpg,Used,,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-Hewlett-Packard-Laptop-Chromebook-14-4GB-SMB-READ-DESCRIPTION-4-CONDITION/132348775077?hash=item1ed09a0aa5%3Ag%3AaiYAAOSwWcNZz8df,$69.59,"HP Hewlett Packard Laptop Chromebook 14"" 4GB-SMB  *READ DESCRIPTION 4 CONDITION*",https://i.ebayimg.com/images/g/aiYAAOSwWcNZz8df/s-l300.jpg,Used,,4GB,HP,,14in.,,,,,,Chromebook,hp Chromebook 14 SMB,Does Not Apply,Chrome OS,,White,,"the chrome book is in good cosmetic condition. has minor chips and scuffs the battery holds a charge, the track pad and headphone jack do not work. Includes ac adapter and Chromebook. See Pics For Details. Thanks for looking!",Built-in Webcam,HDMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/2011-MACBOOK-PRO-13-2-3GHz-Intel-Core-i5-4GB-RAM-320GB/132348810108?hash=item1ed09a937c%3Ag%3ARJIAAOSwa4FZqv91,$600.00,"2011 MACBOOK PRO 13'' 2.3GHz Intel Core i5, 4GB RAM, 320GB",https://i.ebayimg.com/images/g/RJIAAOSwa4FZqv91/s-l300.jpg,Used,MacBook Pro,4GB,Apple,HDD (Hard Disk Drive),13.3in.,320GB,2011,,2.30GHz,,,,,,,Gray,Intel Core i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
