ItemLink,Price,Name,Image,Condition,Screen Size,Memory,Release Year,Bundle Listing,Product Family,Storage Type,Brand,Hard Drive Capacity,Processor Type,Operating System,Processor Speed,Color,Seller Notes,Type,MPN,Product Line,Model,Graphics Processing Type,Features,Country/Region of Manufacture,Hardware Connectivity,UPC,Operating System Edition,For Laptop Brand,SSD Capacity,Country of Manufacture,Video Adapter,Optical Drive,Colour,Memory (RAM),Processor Configuration,Warranty,Manufacturer,Item Location,DVD/CD-RW,Wifi,EAN,GPU/Video Card,Ports/Interfaces,Height,Length,Width,Weight,Dimensions,Label,Binding,ProductGroup,ISBN,HDD Caddy,Battery,Power Supply,Processor,Serial Number,Brand Name,Item Weight,Graphics Coprocessor,ISKU,Title,Primary Drive,Model No.,Model ID,Bundle,Screen Resolution,Resolution,Display Size,Display Type,Form Factor Type,Storage Capacity,Drive Type,RAM Memory,Graphics Card,Processor Manufacturer,Intel Processor Generation,Wireless Type,Series,RAM,Product Dimensions,Hard Drive,Processor Count,Card Description,Computer Memory Type,Contract,Manufacturer Part Number,License,From Factor,Keyboard Bezel Touchpad,Battery AC Adapter,Condition Note,Condition Description,SKU,Shell Condition,Hard Drive CD DVD,CF-30 / CF 31 CADDY GENUINE,Release Date_Display,Keyboard,Connectivity,PCI express slot SSD available,RAM upgrade (email us),Storage capacity,WiFi,Touch Screen Function,AC Adapter,Number of Cores,Form Factor,Adapter,Condition Grade,Drive Capacity,Bundled Items,Compatible Brand,Compatible Product Line,Advanced Features,Wireless Card,Hard Drive Caddy,EBAY_CATEGORY_ID,Hard Drive 1,Optical,Processor Model,Product Model,Product Type,Item Condition,Keyboard Type,Bluetooth,LCD Screen type
http://www.ebay.com/itm/MacBook-Pro-13-inch-Late-2011-Intel-i7/192326069288?hash=item2cc786ec28%3Ag%3AEtUAAOSwPfZZybSA,$650.00,MacBook Pro 13-inch Late 2011 Intel i7,https://i.ebayimg.com/images/g/EtUAAOSwPfZZybSA/s-l300.jpg,Used,"13""",16GB,2011,Yes,MacBook Pro,SSD (Solid State Drive),Apple,512GB,Intel Core i7 1st Gen.,"macOS 10.12, Sierra",2.80GHz,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/IBM-Think-Pad-Laptop-Computer-w-charger-Sony-Mavica-MVC-CD-1000-Camera-extras/192326086037?hash=item2cc7872d95%3Ag%3AZHcAAOSwq%7EtZWslD,$99.99,IBM Think Pad Laptop Computer w/charger - Sony Mavica MVC CD-1000 Camera/extras,https://i.ebayimg.com/images/g/ZHcAAOSwq~tZWslD/s-l300.jpg,Used,12.2in.,,,,,,IBM,,,Windows 98,,,"Both Camera and Computer is in Excellent Condition with Instruction Manual for the Camera -comes with 12 mini CD disc. The battery is very good and holds an excellent charge for 80minutes. I haven't used it for 5 months and when I turn it on, the battery still held the charge. But it does come with battery charger. There is also USB Cable to hook up to the IBM Think Pad computer for the camera. I also provided Adapter for Mini CD's so that you put the CD into your computer, it is easy to used. I also provided a Adaptec Direct CD, already installed in the IBM Thinkpad Computer, so that you can download the images to your computer and make adjustments to the pictures. You can also take video's with sound recordings. I'm selling the camera, because I have too many camera’s and computers.",Notebook/Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-ProBook-4540s-15-6in-500GB-Intel-Core-i3-2nd-Gen-2-4GHz-4GB-Notebook-L/192326095736?epid=129914510&hash=item2cc7875378%3Ag%3AhaUAAOSwzx9Z1sqH,$200.00,"HP ProBook 4540s 15.6in. (500GB, Intel Core i3 2nd Gen., 2.4GHz, 4GB) Notebook/L",https://i.ebayimg.com/images/g/haUAAOSwzx9Z1sqH/s-l300.jpg,Seller refurbished,15.6in.,4GB,,,,HDD (Hard Disk Drive),HP,500GB,Intel Core i3 2nd Gen.,Windows 7,2.40GHz,Gray,"Open box, tested working, comes with power cord and AC adapter",Notebook/Laptop,B5P39UT#ABA,ProBook,hp 4540s,Hybrid Graphics,Built-in Webcam,United States,"HDMI, USB 2.0, USB 3.0",0887111051530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Dell-13-Convertible-7359-2-in-1-13-3-Full-HD-Touch-Core-i3-6100-4gb-Ram-1TB-HDD/192326103067?epid=217314564&hash=item2cc787701b%3Ag%3AdzAAAOSw6HJZ1s9D,$399.95,"Dell 13 Convertible 7359 2 in 1 13.3"" Full HD Touch Core i3 6100 4gb Ram 1TB HDD",https://i.ebayimg.com/images/g/dzAAAOSw6HJZ1s9D/s-l300.jpg,Used,13.3in.,8GB,,,,HDD (Hard Disk Drive),Dell,500GB,Intel Core i5 4th Gen.,,,Gold,Excellent condition. Comes with charger. Reformatted for new user. Works well. Windows 10,Notebook/Laptop,P57G001,Inspiron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/HP-2000-2d19wm-15-6-AMD-E-300-320GB-HDD-4GB-Ram-DVD-RW-Drive-Windows-10-Blue/192326108361?hash=item2cc78784c9%3Ag%3AMfgAAOSwJ8ZZ1tI2,$139.95,"HP 2000-2d19wm 15.6"" AMD E-300 320GB HDD 4GB Ram DVD-RW Drive Windows 10 - Blue",https://i.ebayimg.com/images/g/MfgAAOSwJ8ZZ1tI2/s-l300.jpg,Used,15.6in.,4GB,,,,,HP,320GB,,Windows 8,1.3GHz,Black,Good condition. Works well. Light signs of use. Comes with charger. Reformatted for new user.,Notebook/Laptop,E0M17UAR,,,Integrated/On-Board Graphics,,,,0888182135273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Alienware-Gaming-ALW17-3744SLV-17-Core-i7-4700HQ-2-4GHz-16GB-RAM-1TB-HDD-Win-10/192326155761?hash=item2cc7883df1%3Ag%3ArbsAAOSw5cNYPZJ2,$749.99,"Alienware Gaming ALW17-3744SLV 17"" Core i7-4700HQ 2.4GHz 16GB RAM 1TB HDD Win 10",https://i.ebayimg.com/images/g/rbsAAOSw5cNYPZJ2/s-l300.jpg,Used,17in.,16GB,,,,,Alienware,1TB HDD,,Windows 10,2.40GHz,,"Item is a good,working and cosmatic condition, number 8 key is missing.Please see the pictures.",Notebook/Laptop,Does Not Apply,,ALW17-3744SLV,NVIDIA GeForce GTX770M,,,,,Home Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Apple-MacBook-Pro-A1278-13-3-Laptop-MD313LL-A-October-2011/192326165042?epid=110891711&hash=item2cc7886232%3Ag%3AzBcAAOSwiGlZycOS,$75.53,"Apple MacBook Pro A1278 13.3"" Laptop - MD313LL/A (October, 2011)",https://i.ebayimg.com/images/g/zBcAAOSwiGlZycOS/s-l300.jpg,For parts or not working,13.3in.,4GB,2011,,MacBook Pro,,Apple,500GB,,,2.40GHz,,,,MD313LL/A,,,,,,,0885909531653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Apple-MacBook-Air-A1466-13-3-Laptop-MD760LL-B-April-2014-FREE-SHIPPING/192326167569?epid=217230617&hash=item2cc7886c11%3Ag%3AwEwAAOSwCmNZ1uz9,$329.97,"Apple MacBook Air A1466 13.3"" Laptop - MD760LL/B (April, 2014) - FREE SHIPPING",https://i.ebayimg.com/images/g/wEwAAOSwCmNZ1uz9/s-l300.jpg,For parts or not working,13.3in.,4GB,2014,,MacBook Air,,Apple,128GB,Intel Core i5 4th Gen.,,1.40GHz,Silver,,,MD760LL/B,,,,,,,0885909942763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/Hp-tx1000-tx1305us-tablet-pc-Parts-only/192326173433?hash=item2cc78882f9%3Ag%3AHu0AAOSwwf5Z1vOn,$45.00,"Hp tx1000, tx1305us  tablet pc   Parts only",https://i.ebayimg.com/images/g/Hu0AAOSwwf5Z1vOn/s-l300.jpg,For parts or not working,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebay.com/itm/FOR-PARTS-ONLY-ASUS-C201P-CHROMEBOOKS-AS-IS-BROKEN-KEYBOARD/192326203282?hash=item2cc788f792%3Ag%3AUEgAAOSw9LxZutpr,$60.00,FOR PARTS ONLY ASUS C201P CHROMEBOOKS AS IS (BROKEN KEYBOARD),https://i.ebayimg.com/images/g/UEgAAOSw9LxZutpr/s-l300.jpg,For parts or not working,,,,,,,ASUS,,,Chrome OS,,,,Chromebook,,Chromebook,C201P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
