,ItemLink,Price,Name,Image,Condition,Seller Notes,MPN,UPC,Type,Processor Speed,Brand,Memory,Model,Hard Drive Capacity,Product Line,Graphics Processing Type,Operating System Edition,Storage Type,Operating System,Color,Screen Size,Hardware Connectivity,Processor Type,Optical Drive,Bluetooth,HDMI,Height,Input Voltage,Depth,Keyboard Localization,Display Screen Type,Manufacturer,Ethernet Technology,Flash Memory Capacity,Network (RJ-45),Front Camera/Webcam,Number of Batteries,Front Camera/Webcam Resolution,Number of Cells,Graphics Controller Manufacturer,Number of USB 3.0 Ports,Graphics Controller Model,Graphics Memory Accessibility,Graphics Memory Technology,Country of Origin,Display Screen Technology,Memory Technology,Energy Star,Environmental Certification,Number of USB 3.1 Ports,Environmentally Friendly,Operating System Architecture,Operating System Platform,Maximum Battery Run Time,DisplayPort,Finger Print Reader,Graphics Memory Capacity,Focus Modes,Cellular Data Connectivity Technology,Cellular Generation,Internet Connectivity,Resolution,RAM,Storage Capacity,Additional Ports,Optical Drive Type,Bit Rate,Primary Graphics Card,Keyboard Language,USB Ports,Wifi,Features,Country/Region of Manufacture,Release Year,SSD Capacity,Bundle Listing,Near Field Communication,Touch Screen,CD/DVD Drive,Processor Core,Processor Manufacturer,Processor Model,Original Charger,3G Sim Card slot,BlueTooth,WWAN Compatible,Integrated Webcam,Display Adapters,Screen Resolution,On-Site Warranry,Manufacturer warranty,EAN,ISBN,Item Condition,Storage capacity,Keyboard Type,Touch Screen Function,WWAN,WiFi,Serial Number,Manufacturer Warranty,OS Installed,Wireless Card,Mpn,Marque,Additional Features,Recovery Partition,SKU,Product Type,Total Number of USB Ports,Processor Generation,Standard Memory,Solid State Drive Capacity,Product Family,Wireless LAN,Weight (Approximate),Product Series,Brand Name,caractéristiques,Numéro de pièce fabricant,Colour,Memory (RAM),Laptop Size,Supplémentaires caractéristiques,Dimension disque dur,Modèle processeur,Dimensions de l'écran,Mémoire (RAM),Marque processeur,Garantie,Fonctionnalité Additionelle,Neuf/Usagé,Conditions,Vitesse du processeur,Lecteur et/ou graveur,RAM Technology,CPU,Display resolution,Hard Drive 1,RAM Capacity,OS,RAM 6GB,Core,Screen resolution,Screen size,CPU Series,Single camera,Graphics Card Frequency,Graphics Chipset,WIFI 802.11b/g/n/ac,Hard Disk Memory,Form Factor,Battery Chemistry,Battery Capacity,Flash Memory,Maximum Power Supply Wattage,Backlight Technology,Number of Battery Cells,Primary Drive,Processor Configuration,Caractéristiques Additionelle,Series,Lenovo charger included,3G Sim Card Slot,WWAN compatible,Microsoft Office 2013 Pro,ISKU,Country of Manufacture,Warranty,Graphics Card,Mini DisplayPort,Hard Drive Caddy,AC Adapter,Battery,Hard Drive,RAM memory,Processor,Character,Size,Recommended Ages,Graphics Type,OS DOS,RAM 4GB,Screen type,Battery Type,CPU Intel Celeron J1900,Standby time,Display Ratio,Bandwidth,Support standard,Frequency,Mémoire RAM,Taille de l'écran,Capacité de stockage,Type de processeur,Système d'exploitation,Fast Fulfillment,Stock ID,Memory Card Supported,Aspect Ratio,Memory Card Reader,Technology,RF connector,DUAL-510 input I/F,battey,Media Drive,Hybrid Hard Drive Capacity,Size Type,Graphic Card,Wireless,Warranty - Parts,Warranty - Labor,Product Model,Flash,Gateway Tablet PC,Graphic Processor,Memory RAM,Charger,Screen Resolutions,Wireless Type,Average Battery Life (in hours),Item Weight,Processor Count,Flash Memory Size,Graphics Coprocessor,Card Description,Touchscreen,Storage Caopacity,Controller Platform,WWAN Supported,Wireless LAN Standard,
1,http://www.ebay.com/itm/HP-EliteBook-8460p-Laptop-Core-i5-2520M-2-5GHz-4GB-1TB-Win-7-Pro-3-Yr-Wty/401417177703?hash=item5d76540a67%3Ag%3AdqIAAOSwUuRZ1Xu3,$229.99,HP EliteBook 8460p Laptop Core i5-2520M 2.5GHz 4GB 1TB Win 7 Pro 3 Yr Wty,https://i.ebayimg.com/images/g/dqIAAOSwUuRZ1Xu3/s-l300.jpg,Seller refurbished,"""Professionally Reconditioned with 1 Year Laptop and 90 Day Battery Warranty - All our laptops go through intensive testing by Certified Technicians and professional software.  They may have minor cosmetic scratches or scuffs on the bezel or casings, but overall in excellent cosmetic condition including the screen which is free from bruising, dead pixels or scratches. We guarantee at least 1 hour of battery life with normal use.""",8460p,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://www.ebay.com/itm/Hp-Pavilion-ZE5730us-2-8GHZ-1GB-DDR-80GB-HDD-15-screen-Laptop/152450115193?hash=item237ebc2679%3Ag%3AeU0AAOSwhlZYsckT,$259.95,"Hp Pavilion ZE5730us 2.8GHZ 1GB DDR 80GB HDD 15"" screen  Laptop",https://i.ebayimg.com/images/g/eU0AAOSwhlZYsckT/s-l300.jpg,Seller refurbished,,,,Notebook/Laptop,2.80GHz,HP,1GB,ZE5730us,80GB,Pavilion,Integrated/On-Board Graphics,Home,HDD (Hard Disk Drive),Windows XP,Silver,15in.,USB 2.0,Intel Celeron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://www.ebay.com/itm/Maxvision-MAXPAC8080M-2GB-320GB-HD-DVD-RW/162594903025?hash=item25db6953f1%3Ag%3ARuQAAOSwf%7EZZbOci,$680.00,Maxvision MAXPAC8080M 2GB & 320GB HD DVD/RW ,https://i.ebayimg.com/images/g/RuQAAOSwf~ZZbOci/s-l300.jpg,Used,,MAXPAC8080M,Does not apply,Rugged Computers,,Maxvision,2GB,MAXPAC8080M,320GB,,,,,,,,,,DVD-RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://www.ebay.com/itm/LENOVO-80UR001FUS-Lenovo-N23-11-6-LCD-Netbook-Intel-Celeron-N3060-Dual-core-2/401415478868?hash=item5d763a1e54%3Ag%3ANQ8AAOSwIdpZ08Do,$315.03,"LENOVO 80UR001FUS Lenovo N23 11.6"" LCD Netbook Intel Celeron N3060 Dual-core (2",https://i.ebayimg.com/images/g/NQ8AAOSwIdpZ08Do/s-l300.png,Seller refurbished,Seller Refurbished. LIKE NEW SHOWS NO SIGNS OF USE. All standard accessories included. Item works perfectly.,80UR001FUS,191376789368,,,Lenovo,,,,,,,,Windows 10 Pro (English),Black,,,,,Yes,Yes,"8.4""",230 V AC,"0.9""",English (US),LCD,Lenovo Group Limited,Ethernet,32 GB,Yes,Yes,1,1 Megapixel,3-cell,Intel,1,HD Graphics 400,Shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://www.ebay.com/itm/HP-W0T00UTR-ABA-Chromebook-13-G1-13-3-LCD-Intel-Core-M-6th-Gen-m3-6Y30/401415478918?hash=item5d763a1e86%3Ag%3A57wAAOSw7ApZ08CH,$440.99,"HP W0T00UTR#ABA Chromebook 13 G1 13.3"" LCD Intel Core M (6th Gen) m3-6Y30",https://i.ebayimg.com/images/g/57wAAOSw7ApZ08CH/s-l300.png,Seller refurbished,Seller Refurbished. LIKE NEW SHOWS NO SIGNS OF USE. All standard accessories included. Item works perfectly.,W0T00UTR#ABA,190780801994,,,HP,,,,,,,,Chrome OS,,,,,,Yes,,"0.5""",,"8.6""",,LCD,HP Inc.,,32 GB,,Yes,,,3-cell,Intel,,HD Graphics 515,Shared,LPDDR3,China,BrightView,LPDDR3,Yes,ENERGY STAR,3,Yes,64-bit,Chrome OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://www.ebay.com/itm/New-HP-NON-SMARTBUY-THIN-CLIENTS-X9U29UA-ABA-mt42-14-Thin-Client-Notebook-AMD/142526932719?epid=2096686619&hash=item212f4466ef%3Ag%3AIIkAAOSwqz9Z05OU,$1,370.16,"New HP NON SMARTBUY THIN CLIENTS X9U29UA#ABA mt42 14"" Thin Client Notebook AMD",https://i.ebayimg.com/images/g/IIkAAOSwqz9Z05OU/s-l300.png,New,,X9U29UA#ABA,190780348857,,,HP,,,,,,,,Windows Embedded Standard 7E,,,,,,,,"0.7""",,"9.3""",,,HP Inc.,Gigabit Ethernet,,Yes,Yes,,,3-cell,AMD,2,Radeon R6,Shared,DDR3L SDRAM,,,DDR3L SDRAM,Yes,ENERGY STAR,1,Yes,32-bit,Windows,5.25 Hour,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://www.ebay.com/itm/New-LENOVO-20H5007VUS-Lenovo-ThinkPad-E570-15-6-LCD-Notebook-Intel-Core-i5-6th/142530090284?hash=item212f74952c%3Ag%3AtVgAAOSwBgtZ14gP,$944.98,"New LENOVO 20H5007VUS Lenovo ThinkPad E570 15.6"" LCD Notebook Intel Core i5 (6th",https://i.ebayimg.com/images/g/tVgAAOSwBgtZ14gP/s-l300.png,New,,20H5007VUS,191200652547,,,Lenovo,,,,,,,,,Black,,,,,Yes,Yes,"1""",230 V AC,"10.3""",English (US),LCD,Lenovo Group Limited,Ethernet,,Yes,Yes,1,,4-cell,NVIDIA,,GeForce GT 940MX,Dedicated,DDR3L SDRAM,,,DDR4 SDRAM,,,,,,,,,Yes,Up to 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://www.ebay.com/itm/New-LENOVO-20HR000LUS-Lenovo-ThinkPad-X1-Carbon-5th-Gen-14-LCD-Ultrabook-Intel/362123621957?epid=25006198055&hash=item54503ff645%3Ag%3AjSAAAOSwVgtZ14f-,$1,909.35,"New LENOVO 20HR000LUS Lenovo ThinkPad X1 Carbon 5th Gen 14"" LCD Ultrabook Intel",https://i.ebayimg.com/images/g/jSAAAOSwVgtZ14f-/s-l300.png,New,,20HR000LUS,191200398445,,,Lenovo,,,,,,,,,Silver,,,,,Yes,Yes,"0.6""",230 V AC,"12.7""",English (US),LCD,Lenovo Group Limited,Ethernet,,Yes,Yes,1,,3-cell,Intel,3,HD Graphics 620,Shared,LPDDR3,,In-plane Switching (IPS) Technology,LPDDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://www.ebay.com/itm/New-LENOVO-20HH000FUS-Lenovo-ThinkPad-P51-15-6-LCD-Mobile-Workstation-Intel/362123622087?hash=item54503ff6c7%3Ag%3AXtQAAOSwNZtZ14gJ,$1,908.38,"New LENOVO 20HH000FUS Lenovo ThinkPad P51 15.6"" LCD Mobile Workstation Intel",https://i.ebayimg.com/images/g/XtQAAOSwNZtZ14gJ/s-l300.png,New,,20HH000FUS,191376354528,,,Lenovo,,,1 TB,,,,,,Black,,,,,Yes,Yes,"1.2""",,"9.9""",English,LCD,,Gigabit Ethernet,,,Yes,,,,NVIDIA,,Quadro M1200M,Dedicated,,,In-plane Switching (IPS) Technology,,Yes,RoHS,,Yes,,,,,Yes,Up to 4 GB,Fixed Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://www.ebay.com/itm/New-LENOVO-20H9004VUS-Lenovo-ThinkPad-T570-15-6-LCD-Notebook-Intel-Core-i5-7th/401419063829?hash=item5d7670d215%3Ag%3AIAoAAOSwhMFZ2OGP,$1,860.74,"New ListingNew LENOVO 20H9004VUS Lenovo ThinkPad T570 15.6"" LCD Notebook Intel Core i5 (7th",https://i.ebayimg.com/images/g/IAoAAOSwhMFZ2OGP/s-l300.png,New,,20H9004VUS,191545094101,,,Lenovo,,,,,,,,,Graphite Black,,,,,Yes,Yes,"0.8""",,"14.4""",English (US),LCD,Lenovo Group Limited,Ethernet,,Yes,Yes,2,,3-cell,Intel,,HD Graphics 620,Shared,DDR4 SDRAM,,In-plane Switching (IPS) Technology,DDR4 SDRAM,,,,,,,,,Yes,,,LTE,4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
