,ItemLink,Price,Name,Image,Condition,Brand,Display Max. Resolution,Model,Rear Camera Resolution,MPN,Front Camera Resolution,Screen Size,Height,Internet Connectivity,Width,Storage Capacity,Depth,Type,Weight,UPC,Battery Technology,Display Size,Battery Run Time,Operating System,Input Method,Supported File Types,Platform,Exterior Color,Special Features,Processor Manufacturer,Display Tech,Color,Wireless capabilities,Country/Region of Manufacture,Features,Expansion Ports,Data Link Protocol,PC Interface,RAM,Processor Speed,Hardware Connectivity,Battery Standby,Processor,Product Line,Resolution,Seller Notes,Carrier,EAN,Bundled Items,Max. Resolution,Max Screen Resolution,Hard Drive,Size Type,Wireless Type,Average Battery Life (in hours),Screen Resolution,Style,Bundle Listing,Expandability,Product Information,Processor Type,Interface,Contract,GTIN,ISBN,Delivery Time,Key Word,Networking Type,Audio Output,Installed RAM,Battery,CPU,camera,GPU,ROM  Flash,Warranty,Manufacturer Part Number,Touch Screen Technology,Manufacturer Part number,Audio Input,Release Date,Cosmetic condition,No accessories,Internal Memory,Monitor Screen Size,Manufacturer warranty,Band,Hard Drive Capacity,Extend Port,Camera,Processor Manufacture,Touch Screen Type,Processor Main Frequency,Cell Capacity,Colour,Other Part Numbers,Camera Resolution,RAM Technology,battery type,Wi-Fi,Bundled item,Security Features,Installed Cache Memory,Charger,Charger and cable,Screen type,Marque,Numéro de pièce fabricant,OS,Screen,Screen resolution,Size,Not Included,Capacity,Battery type,Input voltage,Output voltage,Output current,Shipping Time,Manufacturer Warranty,Warranty - Parts,Warranty - Labor,colo,Front Camera Megapixels,Rear Camera Megapixels,Functional Digitizer,Memory Size,Max Supported RAM,Graphic Processor,Wireless Protocol,Touch panel,Publisher,Binding,Dimensions,OperatingSystem,PartNumber,ProductGroup,BRAND,AC adapter,Additional Features,Battery Capacity,Core,External Memory,WIFI,Chipest,Extended memory,Product Size,Front Camera,Rear Camera,Screen Type,Memory Card Type,Lock Status,3G network,4G,File format,Support,Battery / Run Time (up to),Battery Type,Graphics Chipset,Material of back cover,Max. Video Resolution,Battery Capacity(mAh),Extend Card,Processor Number,Samsung,3G,Battery capacity (mAh),Front camera,Back camera,External storage,WIFi,Bands,Bettry Type,External Storage,Country of Manufacture,Network,Dimension / Weigt,Supported Languages,Shipping Carrier,Display,Supported Video format,Graphics Processing Type,Memory,Display Color Support,ROM,Camera type,CPU Brand,Connectivity,SD Card Slot,Supported File Formats,Languages,Front Camera Pixels,Material,Earphone Port,Back Camera,pid,Original Box,Cosmetic Condition,Digital storage capacity,Offer type,Item unbranded and not associated with,Storage,JAPAN ONLY METAL MAGAZINE,Fast Fulfillment,Language,Language2,Note,Storage Controller Type,Item Condition,Touch Screen Function,Storage Type,Keyboard Type,Serial Number,Colours Available,Modem Type,Analog Modulation Protocol,Bus Speed,Maximum Resolution,Accessories Included Electronics Product,Input Type,Item Type Electronics,Wired Connectivity,Software Included,Product Color,Output Type,Product Depth,Features Electronic Display,Product Height,Wireless Standard,Product Weight,Wireless Technology,Targeted Audience,Features Audio Product,Product Width,Battery Charge Life,Warranty Description,Original box,System,NumberOfItems,Installed Video Memory,Bluetooth,Touchscreen,Model Number,Charging Time (h),Headphones,Manufacturer,AC Adapter,Mpn,Item Weight,Shipping Weight,Product Dimensions,Rear Webcam Resolution,Computer Memory Type,Power Source,Wifi,Sim Card,Generation,Dimensions of glass,Dimensions of Projection Base,SKU,Keyboard,Battery Life,Rating,SIM Card,Audio,Cameras,Resolution (pixels),Lister,Category,Plug,Plug Adaptor,test,Custom3,Number of Cores,Max Resolution,PID
0,http://www.ebay.com/itm/Apple-iPad-Pro-128GB-Wi-Fi-9-7in-Gold-Tablet/253191263220?epid=216932456&hash=item3af36013f4%3Ag%3AX6MAAOSwSZFZ0D3A,$663.34,"Apple iPad Pro 128GB, Wi-Fi, 9.7in - Gold Tablet",https://i.ebayimg.com/images/g/X6MAAOSwSZFZ0D3A/s-l300.jpg,Used,Apple,2048 x 1536,Wi-Fi,12 Megapixel,MLMX2X/A,5 Megapixel,"9.7""",24cm (9.4 In),Wi-Fi,16.95cm (6.6 In),128GB,0.61cm (0.24 In),Tablet,0.437kg (0.96lb.),0888462763356,Lithium polymer,9.7in (24.64cm),UP to 10hr.,iOS,"Camera, Touch-Screen",".ics, DOC, DOCX, GIF, HTM, HTML, JPG, Numbers, PDF, PPT, PPTX, Pages, RTF, TIFF, TXT, VCF, XLS, XLSX, ZIP",Mac,Gold,"Bluetooth, Built-In Front Camera, HD, Retina Display, Touch Screen",Apple,LED-backlit Multi-Touch with IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,http://www.ebay.com/itm/LINSAY-F-10XHD-10-1-8GB-QUAD-CORE-1024x600-HD-WIFI-ANDROID-4-4-2-TABLET/401232025884?hash=item5d6b4ad91c%3Ag%3ArjIAAOSwiONYN-kJ,$39.00,"LINSAY F-10XHD 10.1"" 8GB QUAD CORE 1024x600 HD WIFI ANDROID 4.4.2 TABLET",https://i.ebayimg.com/images/g/rjIAAOSwiONYN-kJ/s-l300.jpg,Used,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://www.ebay.com/itm/9inch-Tablet-HD-Dual-Camera-3G-Quad-Core-Android-4-4-1GB-8GB-WIFI-Bluetooth-PC/192186450862?hash=item2cbf3483ae%3Ag%3ArrUAAOSwtGlZF738,$67.89,9inch Tablet HD Dual Camera 3G Quad Core Android 4.4 1GB+8GB WIFI Bluetooth PC ,https://i.ebayimg.com/images/g/rrUAAOSwtGlZF738/s-l300.jpg,New,Unbrand,,,,PEE648839902340GT,,"9""",,,,8GB,,Tablet,,648839902357,,,,Android 4.4,,,PC,,,,,White,Bluetooth,China,Bluetooth,Bluetooth,3G,Wi-Fi,1GB,1.3GHz,Bluetooth,Up to 60 Hours,Quad Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://www.ebay.com/itm/BRAND-NEW-Kindle-Fire-7-Display-Wi-Fi-8-GB-Special-Offers-With-ALEXA/272871128575?epid=218535760&hash=item3f8862fdff%3Ag%3AhWIAAOSwLzdWRhvY,$58.98,"BRAND NEW! Kindle Fire, 7"" Display, Wi-Fi, 8 GB -Special Offers, With ALEXA!",https://i.ebayimg.com/images/g/hWIAAOSwLzdWRhvY/s-l300.jpg,New,Amazon,,,,B00TSUGXKE,,"7""",,Wi-Fi,,8GB,,Tablet,,848719062854,,,,Fire 5 OS ( Ready to Use),,,,,,,,Black,,,"Built-In Front Camera, Built-In Rear Camera, Color Screen, Expandable Memory, Touch Screen, Web Browser",,,,1GB,1.3GHz,USB,,Quad Core,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://www.ebay.com/itm/Amazon-Kindle-Fire-HD-7-16GB-Wi-Fi-Tablet-Black-Previous-Generation-2013/311960136076?epid=1900483206&hash=item48a245e98c%3Ag%3AFy4AAOSwZOVZutSH,$44.95,"Amazon Kindle Fire HD 7"" 16GB Wi-Fi Tablet - Black (Previous Generation, 2013)",https://i.ebayimg.com/images/g/Fy4AAOSwZOVZutSH/s-l300.jpg,Used,Amazon,,,,Kindle Fire HD : B00FKA9PM4,,"8""",,,,16GB,,Tablet,,848719003789,,,,,,,,,,,,Black,,,,,,,,,,,,,1280 x 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://www.ebay.com/itm/NEW-LYNX-7-TOUCHSCREEN-ETHERNET-NETWORK-TABLET-888-700-205-850-010580-SD-CARD/291889457589?hash=item43f5f7a9b5%3Ag%3A9MAAAOSw4shX3Dss,$39.97,"NEW LYNX 7"" TOUCHSCREEN ETHERNET NETWORK TABLET 888-700-205 +850-010580 SD CARD",https://i.ebayimg.com/images/g/9MAAAOSw4shX3Dss/s-l300.jpg,New other (see details),Lynx,,,,Does Not Apply,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,This is a NEW OTHER item in EXCELLENT cosmetic condition that IS NOT IN ITS ORIGINAL PACKAGING and is GUARANTEED WORKING AS DESCRIBED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://www.ebay.com/itm/Insignia-Flex-Tab-8-Tablet-16GB-Android-6-0-NS-P08A7100-Bonus-FiberCloth-Black/232502723398?epid=232981159&hash=item36223e0346%3Ag%3A1I0AAOSwgiRZyvd5,$44.95,"Insignia Flex Tab 8"" Tablet 16GB Android 6.0 NS-P08A7100+Bonus FiberCloth -Black",https://i.ebayimg.com/images/g/1I0AAOSwgiRZyvd5/s-l300.jpg,Manufacturer refurbished,Insignia,,,,NS-P08A7100,,8'',,Wi-Fi,,16GB,,Tablet,,0600603200120,,,,Android 6.0.X Marshmallow,,,,,,,,Black,,,"Built-In Front Camera, Built-In Rear Camera",,,,,,USB 2.0,,Quad Core,,1280 x 800,"Excellent Product, 100% Functional, used as store display in very good condition. Item is in the Original Retail Box. You will be getting the unit, MicroUSB charger and a bonus microfiber cleaning cloth.",Not Applicable,0600603200120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://www.ebay.com/itm/Verizon-Ellipsis-Ellipsis-8-16GB-Wi-Fi-4G-Verizon-8in-Black/272875909666?epid=216849331&hash=item3f88abf222%3Ag%3ArtUAAOSwfIxZYB31,$51.95,"New ListingVerizon Ellipsis Ellipsis 8 16GB, Wi-Fi + 4G (Verizon), 8in - Black",https://i.ebayimg.com/images/g/rtUAAOSwfIxZYB31/s-l300.jpg,Used,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,Ellipsis,,Tablet is used and is fully working.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://www.ebay.com/itm/Verizon-Ellipsis-QMV7B-8GB-Wi-Fi-4G-Verizon-7in-Black/272875909670?hash=item3f88abf226%3Ag%3AhocAAOSwWGlZwynG,$37.95,New ListingVerizon Ellipsis QMV7B-8GB Wi-Fi + 4G(Verizon) 7in-Black ,https://i.ebayimg.com/images/g/hocAAOSwWGlZwynG/s-l300.jpg,Used,Verizon,,,,Does Not Apply,,7in.,,Wi-Fi + 4G,,8GB,,Tablet,,Does not apply,,,,,,,,Black,,,,Black,,,,,,,,,,,,Elipsis,,Everything on this tablet is fully working.,Verizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://www.ebay.com/itm/7-Inch-Google-Android-5-1-Quad-Core-Tablet-PC-16GB-Dual-SIM-3G-Unlocked-GPS-HD/152666690782?hash=item238ba4d4de%3Ag%3AvtoAAOSwzx9ZwLhX,$66.25,7'' Inch Google Android 5.1 Quad Core Tablet PC 16GB Dual SIM 3G Unlocked GPS HD,https://i.ebayimg.com/images/g/vtoAAOSwzx9ZwLhX/s-l300.jpg,New,Unbranded/Generic,,A708,,B0-00462-11,,7in.,,Wi-Fi + 3G,,16GB,,Tablet,,Does not apply,,,,Android 5.0.X Lollipop,,,,,,,,Gold,,,"Built-In Front Camera, Built-In Rear Camera, Colour Screen, File Browsing, Media Player, MP3 Player, Touch Screen, Web Browser",,,,1GB,,Bluetooth,,Quad Core,,1024 x 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
