,ItemLink,Price,Name,Image,Condition,Brand,UPC,MPN,EAN,Hardware Connectivity,Exterior Color,Type,Processor Manufacturer,Resolution,Rear Camera Resolution,Screen Size,Installed RAM,Processor,Expandability,RAM,Expansion Ports,PC Interface,Height,Internet Connectivity,Width,Carrier,Depth,Storage Capacity,Weight,Processor Speed,Special Features,Product Information,Model,Product Line,Color,Display Size,Contract,Operating System,Features,Battery Run Time,Bundle Listing,Seller Notes,Front Camera Resolution,Audio Input,Audio Output,Battery Technology,Platform,Display Tech,Wireless capabilities,Input Method,Release Date,Supported File Types,Country/Region of Manufacture,Touch Screen Technology,Processor Type,RAM Technology,Max Supported RAM,Networking Type,Interface,Category,Model Number,Manufacturer,Installed Cache Memory,Installed Video Memory,Data Link Protocol,Max. Video Resolution,Hard Drive Capacity,Cosmetic condition,No accessories,Charger and cable,Original box,Bundled Items,Bus Speed,Analog Modulation Protocol,Graphic Processor,Processor Cores,Tablet Type,Graphic Card,Capacity,Tablet Color
0,http://www.ebay.com/itm/Craig-CMP793-BUN-9-8GB-Quad-Core-Android-Tablet-FAST-FREE-SHIPPING/132329243894?epid=1862279638&hash=item1ecf7004f6%3Ag%3ACC4AAOSweD5Zusgw,$99.99,"Craig CMP793 - BUN 9"" 8GB Quad Core Android Tablet | ***FAST FREE SHIPPING***",https://i.ebayimg.com/images/g/CC4AAOSweD5Zusgw/s-l300.jpg,New,Craig Electronics,731398637935,CMP793 - BUN,0731398637935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,http://www.ebay.com/itm/Dell-XPS-10-64GB-10-1-Windows-8-RT-Black-with-Kensington-keyfolio-pro-2/132329699302?epid=129805908&hash=item1ecf76f7e6%3Ag%3A6GoAAOSw6ntZimmy,$125.00,"Dell XPS 10 64GB 10.1"" Windows 8 RT Black  with Kensington keyfolio pro 2 ",https://i.ebayimg.com/images/g/6GoAAOSw6ntZimmy/s-l300.jpg,Used,Dell,"0884116108108, 0884116108115",XPS10-3636BLK,,"Micro-USB, Wi-Fi",Black,Tablet,Qualcomm,1366 x 768,5 Megapixel,10.1in.,2 ChannelGB,Dual Core,"microSD, microSDHC",2GB,Micro USB,"Micro-USB, Wi-Fi",6.98in (17.73cm),Wi-Fi,10.8in (27.43cm),Not Applicable,0.57in (1.45cm),64GB,1.4lb. (0.63kg),1.5GHz,"Built-In Front Camera, Built-In Rear Camera","Enjoy streaming videos, watching movies and a host of other activities on-the-go with the Dell 10 Wi-Fi tablet PC. Sporting a 10.1-inch HD capacitive multi-touch display with a resolution of 1366x768 pixels, this Dell XPS tablet not only delivers remarkably clear visual output but also assists in quick navigation. Moreover, being powered by a 1.5 GHz Qualcomm Snapdragon S4 DC processor, this black Wi-Fi tablet PC facilitates high- speed data processing. Seamlessly browse through the Web; check mails and stay connected with your friends when on a hotspot as this 64 GB Dell XPS tablet supports dual-band 802.11a/b/g/n Wi-Fi and Bluetooth 4.0 connectivity. Capture memorable moments with your loved ones as the Dell 10 tablet is equipped with a 5 MP rear facing autofocus camera. Whatâ€™s more, with its 2 MP front webcam, this Dell XPS tablet enables you to engage in face-to-face video chat with your friends and colleagues.",10,XPS,Black,10.1in (25.65cm),Not Applicable,Windows 8,"Built-In Front Camera, Built-In Rear Camera, Color Screen, File Browsing, Media Player, Touch Screen, Web Browser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://www.ebay.com/itm/Amazon-Fire-HD-7-4th-Generation-8GB-Wi-Fi-7in-Cobalt/132330168844?hash=item1ecf7e220c%3Ag%3AGaEAAOSw5ShZu9rX,$45.00,"Amazon Fire HD 7 (4th Generation) 8GB, Wi-Fi, 7in - Cobalt",https://i.ebayimg.com/images/g/GaEAAOSw5ShZu9rX/s-l300.jpg,Used,Amazon,,,,,,Tablet,,,,6in.,,,,,,,,Wi-Fi,,,,8GB,,,,,,fire hd,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://www.ebay.com/itm/Apple-iPad-Pro-12-9-inch-512GB-WiFi-June-2017-model-Space-Gray-MPKY2LL-A/132330444664?epid=238060941&hash=item1ecf825778%3Ag%3A3jUAAOSwRaRZq3QE,$860.00,Apple iPad Pro 12.9 inch 512GB WiFi June 2017 model Space Gray (MPKY2LL/A),https://i.ebayimg.com/images/g/3jUAAOSwRaRZq3QE/s-l300.jpg,New,Apple,0190198420374,MPKY2LL/A,,USB,Space Gray,Tablet,Apple,2732 x 2048,12 Megapixel,12.9in.,,,,,,USB,,Wi-Fi,,Not Applicable,,512GB,1.49lb. (0.67kg),,,"The Apple iPad Pro Tablet 2nd generation sports a 12.9-inch retina display with a resolution of 2732x2048 pixels. Powered by the A10X Fusion chip, and M10 motion coprocessor, it provides high speed and efficiency. This space gray, Wi-Fi model has a storage capacity of 512 GB, and runs on the IOS10 operating system. It features a 12 MP iSight camera, allowing you to capture sharp and detailed photographs. In addition, this tablet supports the Smart Keyboard and the Apple Pencil.",Wi-Fi,ipad pro,Gray,12.9in (32.77cm),Without Contract,iOS,,UP to 10hr.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://www.ebay.com/itm/Samsung-Galaxy-SM-T713NZKEXAR-Tab-S2-8-0-32GB-Black/132330526569?epid=217443209&hash=item1ecf839769%3Ag%3Ah2cAAOSwa9NZu8Hl,$279.99,"Samsung Galaxy SM-T713NZKEXAR Tab S2 8.0, 32GB, Black",https://i.ebayimg.com/images/g/h2cAAOSwa9NZu8Hl/s-l300.jpg,New other (see details),Samsung,0887276069852,SM-T810NZKEXAR,0887276069852,"Micro-USB, Wi-Fi",Black,Tablet,,2048 x 1536,8 Megapixel,9.7in.,3GB,Octa Core,microSD,3GB,USB 2.0,"Micro-USB, Wi-Fi",9.34in (23.72cm),Wi-Fi,6.65in (16.89cm),Not Applicable,0.22in (0.56cm),32GB,0.85lb. (0.38kg),,"Bluetooth, Built-In Front Camera, Built-In Rear Camera","9.7 Galaxy Tab S2 Tablet Keeps You Connected On the Go Built for ultra-fast performance, the thin and lightweight Samsung Galaxy Tab S2 goes anywhere you go. Photos, movies and documents pop on a crisp, clear Super AMOLED display. Expandable memory lets you enjoy more of your favorite content. And connecting and sharing between all your Samsung devices is easier than ever. Welcome to life with the re-imagined Samsung Galaxy Tab S2.",SM-T810N,Galaxy Tab S2,Black,9.7in (24.64cm),,Android,,,,New Opened Box,2 Channel.1 Megapixel,Microphone,"Headphones, Speaker(s)",Lithium ion,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://www.ebay.com/itm/InFocus-Q-Tablet-INP-120Q-10-1-Touchscreen-Windows-8-1-2GB-RAM-399-New/132330780309?hash=item1ecf877695%3Ag%3AcBMAAOSwFPRZvJ6g,$159.99,"InFocus Q Tablet INP-120Q 10.1"" Touchscreen Windows 8.1, 2GB RAM $399 New",https://i.ebayimg.com/images/g/cBMAAOSwFPRZvJ6g/s-l300.jpg,New other (see details),InFocus,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand-new in open box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://www.ebay.com/itm/Kindle-Keyboard-3G-WiFi-6-E-Ink-Display-with-latest-critical-software-update/132330851383?epid=103128286&hash=item1ecf888c37%3Ag%3AZlwAAOSw5UZY%7EUl2,$79.99,"Kindle Keyboard 3G + WiFi, 6"" E Ink Display with latest critical software update",https://i.ebayimg.com/images/g/ZlwAAOSw5UZY~Ul2/s-l300.jpg,Seller refurbished,Amazon,"0814916010202, 0814916011872",B006-KNDL33GWIFINOG,,"Micro-USB, Wi-Fi",Graphite,eBook Reader,Freescale,800 x 600,,6in.,,,,,USB,"Micro-USB, Wi-Fi",7.5in (19cm),Wi-Fi + 3G,4.8in (12.3cm),Unlocked,0.33in (0.851cm),4GB,0.54lb. (0.247kg),532MHz,"Built-In Keyboard, Integrated Speakers","In today's busy world, browsing the bookstore or library to find new reading material can be replaced with the ease of a Kindle. When there is time to read, it's convenient to have a new book already available to enjoy. Kindles are e-readers that have access to the huge e-book inventory available from Amazon. This third-generation Kindle device has great functionality and a terrific display. With the Amazon Kindle Keyboard, you can have thousands of e-books available through the browser, including content only available through Amazon Built-in software and firmware include a Linux operating system, so this model runs quickly and efficiently. With fast page turns and quick e-book downloads from the Kindle store, you can begin enjoying your book faster than ever. The Amazon Kindle Keyboard is unlocked so as to be compatible with WiFi and a global 3G network, so you can easily access the WebKit web browser to download material when you are on the go. There is 4GB of integrated memory built in, permitting you to store up to 3,500 e-books and audio books. This e-reader device has an efficient keyboard that allows you to type and take notes while being able to see the screen. It also has integrated the page-turn buttons into the keypad to make them less invasive to the screen. The keys are nearly silent with minimal clicking sounds when you push them. With its 6-inch, e-ink display, the text is sharp with dark letters that contrast against the page to ensure users experience easy readability. There are eight different fonts available, including two extra-large fonts, offering you the ability to customize. The ink style of type allows comfortable reading in many conditions even direct sunlight. With its 600 by 800 resolution and pixel density of 167 ppi, you can enjoy books, magazines, and newspapers with crisp clarity. This Kindle device is light and slim and can be held comfortably for as long as you need to read. It is also very portable if you want to take it with you on the go. The size is 7.5 inches tall and 4.8 inches wide and only a third of an inch thick, so you can hold it one-handed with ease. Weighing just over 8 ounces, this model is also extremely light. Its graphite-colored exterior and slim profile give it a stylish and professional look. Additional features include a USB 2.0 port and a 3.5-millimeter standard headphone jack for plugging in accessories or listening to audio books. You can enable text-to-speech to allow some e-books to be read aloud plus listen to menus and product descriptions. PDF support lets you read documents or access a dictionary, notes, and a look-up feature, which can help you to write a report as you read. A long-lasting battery is installed and lasts up to four weeks when 3G and wireless Internet are not enabled.",Keyboard (3rd Generation),,Black,6in (15.24cm),,Linux,Built-In Keyboard,,,"Display, keypad, and casing are in great condition. Includes special offers and comes with many books including Hunger Games Trilogy.",,Stereo Input Jack,Speaker(s),Lithium polymer,,E-Ink ® Pearl,"WLAN 802.11b, WLAN 802.11g",Keyboard,5/25/2011,"BMP, GIF, JPEG, MP3, PNG",China,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://www.ebay.com/itm/Apple-iPad-Air-2-16GB-Wi-Fi-Cellular-Unlocked-9-7in-Gold/132331050081?epid=204425278&hash=item1ecf8b9461%3Ag%3AcL4AAOSwU9xUUAto,$255.00,"Apple iPad Air 2 16GB, Wi-Fi + Cellular (Unlocked), 9.7in - Gold",https://i.ebayimg.com/00/s/NjAwWDQyNA==/z/cL4AAOSwU9xUUAto/$_35.JPG?set_id=89040003C1,Seller refurbished,Apple,0888462058605,MH2W2LL/A,,"USB, Wi-Fi",Gold,Tablet,Apple,2048 x 1536,8 Megapixel,9.7in.,2 ChannelGB,,,2GB,"Bluetooth, Lightning connector","USB, Wi-Fi",0.24in (0.61cm),Wi-Fi + Cellular,9.4in (24cm),Unlocked,6.6in (16.95cm),16GB,0.98lb. (0.444kg),1.5GHz,"Bluetooth, Built-In Front Camera, Built-In Rear Camera, Fingerprint Sensor, GPS, HD, Retina Display, Touch Screen","Use this lightweight Apple iPad Air 2 MH2W2LL tablet around the home or take it with you to stay connected on the move. With a conveniently-sized 9.7 in / 24.6 cm screen that fits easily into your hands, it offers more versatility than a laptop computer. Along with their reputation for quality and innovation, Apple devices are popular for their simple yet elegant design. The tablet's 16 GB storage capacity can hold a plentiful selection of movies, songs, e-books and games to supply on-the-go entertainment as needed. Complete with Siri, a digital assistant that recognizes voice commands, the Apple iOS operating system is built to enhance and simplify the user’s digital experience. With a screen that measures 9.7 in / 24.6 cm, this tablet is a great option for displaying image-heavy digital media and e-books. Websites developed for mobile viewing are easy to read on all screen resolutions, but high resolutions such as 2048 x 1536 provide sharper and more color-intense graphics. Quickly and easily take ""selfies"" and make two-way video calls with the high-quality front camera feature on this tablet. From casual use to professional business use, the Wi-Fi connectivity quickly and easily connects to available networks for easy Internet access.",Wi-Fi + Cellular,iPad Air 2,Gold,9.7in (24.64cm),,iOS,,UP to 10hr.,,"Mint condition, Like new",1.2 Channel Megapixel,Line In (3.5mm),Speaker(s),Rechargeable Lithium-Polymer,"Mac, PC",LED-backlit Multi-Touch with IPS,dual channel  (2.4GHz and 5GHz) and MIMO,"Camera, Touch-Screen",10/16/2014,".ics, Audible Enhanced Audio, DOCX, GIF, JPG, MP3, MPEG-4, PCM, WAV",,Multi-Touch,Apple A8X,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://www.ebay.com/itm/Apple-iPad-4th-Generation-16GB-Wi-Fi-9-7in-White/132331840210?epid=129476831&hash=item1ecf97a2d2%3Ag%3ArZkAAOSwv3FZvhAh,$179.99,"Apple iPad 4th Generation 16GB, Wi-Fi, 9.7in - White",https://i.ebayimg.com/images/g/rZkAAOSwv3FZvhAh/s-l300.jpg,Used,Apple,0885909652976,MD513LL/A,,"Micro-USB, USB 2.0, Wi-Fi",White,Tablet,Apple,2048 x 1536,5 Megapixel,9.7in.,1GB,Dual Core,,1GB,USB 2.0,"Micro-USB, USB 2.0, Wi-Fi",0.37in (0.94cm),Wi-Fi,9.5in (24.12cm),Not Applicable,7.31in (18.57cm),16GB,1.44lb. (0.652kg),,"Backlight, Built-In Front Camera, Built-In Rear Camera, LCD Display, Touch Screen","The Apple iPad 4th Generation tablet has a stunning retina display, 16GB of storage space, a sleek design, and Wi-Fi capabilities. These features make this iPad an enjoyable device for people on the go and media lovers of all kinds. This 4th generation Apple iPad has a 9.7-inch display and runs on the innovative iOS operating system. The multi-touch screen, with a maximum resolution of 2048x 1536, offers high-definition video streaming and movie watching no matter where you go. If you have a Wi-Fi signal, you can tune into a sport's stream, catch up on TV shows, or even sit down to watch an old favorite flick. With 16GB of space available, you should have enough room for your favorite apps, photos, documents, music, and some TV episodes or movies. The iPad boasts the sleek white design that is appreciated by lovers of Apple products and electronics. It has the capabilities to present your images and videos in pristine detail, complete with rich color.You can go online anytime a Wi-Fi network is available to access the multitude of innovative apps through the App Store. Play games, send a Snap, or document your own adventures on Instagram. The iPad 4 also lets you capture photos via the built-in front or rear camera. The front camera has a 1.2MP resolution, while the rear iSight camera has MP, allowing for detailed photographs. You can also use the iPad for video recording at 1080p HD or use the cameras for chatting on FaceTime with friends and family. This device also lets you enjoy the versatility of Bluetooth connectivity. For music lovers and devoted audiophiles, the iPad supports an array of file types. Just pop in your earbuds or another headphone accessory to enjoy AAC, Apple Lossless, MP4 and MP3/VBR music files either from a streaming app or your iTunes library. With its generous storage capacity, this iPad lets you hold whole discographies in the palm of your hands.This Apple iPad 4 has 1GB of installed RAM and interfaces with your Mac or PC thanks to micro-USB and Wi-Fi syncing. The iPad also boasts a built-in microphone for audio input, letting you record voice messages, sound files, or video blogs. The built-in audio output is a pair of high-quality speakers. With a rechargeable lithium polymer battery and a run time of 10 hours, this model of the iPad lets you use and reuse your device for as long as you wish. Its backlight can double as a flashlight on the go or as a useful light source for any late or sleepless nights when you have reports to read. This Apple tablet also provides a great platform for reading eBooks and digital magazines in full color, and the retina display provides clear, sharp images and browser text from any viewing angle.",Wi-Fi,iPad 4th Generation,White,9.7in (24.64cm),,iOS,,UP to 10hr.,,,1.2 Channel Megapixel,Microphone,Speaker(s),Rechargeable Lithium-Polymer,"Mac, PC",Retina Display,"Bluetooth, Built-in Wireless, WLAN 802.11a, WLAN 802.11b, WLAN 802.11g, WLAN 802.11n",Touch-Screen,10/23/2012,"AAC, AAC-LC, AAX, AAX Plus (AAX+), AIFF, AVI, Apple Lossless, Audible Enhanced Audio, Audible Format 2, Audible Format 3, Audible Format 4, DOC, DOCX, GIF, H.264, HE-AAC, HTM, HTML, JPG, Key, M4V, MOV, MP3, MP3 VBR, MP4, MPEG-4, Numbers, PDF, PPT, PPTX, Pages, Protected AAC, RTF, TIFF, TXT, VCF, WAV, XLS, XLSX",,Multi-Touch,Apple A6X,DDR2 DRAM,1GB,"Bluetooth, Integrated Wireless LAN",,,,,,,,,,,,,,,,,,,,,,
9,http://www.ebay.com/itm/Used-iPad-First-Generation-64GB/132332612153?hash=item1ecfa36a39%3Ag%3ApvcAAOSw1OlZkcJ3,$45.00,Used iPad First Generation 64GB,https://i.ebayimg.com/images/g/pvcAAOSw1OlZkcJ3/s-l300.jpg,Used,Apple,Does not apply,Does Not Apply,,,,iPad,,,,,,,,64GB,,,,,,,,64GB,,,,,,iPad 1st Generation,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
