,ItemLink,Price,Name,Image,Condition,Brand,Features,MPN,Processor Speed,Product Line,Resolution,Screen Size,Processor,Storage Capacity,RAM,Color,Type,Internet Connectivity,Exterior Color,UPC,Seller Notes,Processor Manufacturer,Hardware Connectivity,Rear Camera Resolution,Installed RAM,Expandability,Carrier,Expansion Ports,PC Interface,Height,Width,Depth,Weight,Battery Run Time,Product Information,Special Features,Model,Display Size,Operating System,Platform,Input Method,Bundle Listing,Contract,Display Tech,Touch Screen Technology,Front Camera Resolution,Wireless capabilities,Audio Input,Audio Output,Battery Technology,Supported File Types,Release Date,Processor Type,Max. Video Resolution,Networking Type,Country/Region of Manufacture,Bundled Items,Max Supported RAM,Interface,Hard Drive Capacity,Data Link Protocol,Plug,Plug Adaptor,EAN,Graphic Processor,RAM Technology,Cosmetic condition,Connectivity,test,Custom3,ROM,Number of Cores,Max Resolution,PID,Manufacturer,Resolution (pixels),No accessories,Memory,Size,ISBN,Colour,Display Color Support,Storage Controller Type,Installed Cache Memory,Installed Video Memory,Original box,Charger and cable,Compatible Model,Compatible Brand,ScreenSize,Model Number,Included,Headphones,Item shape,Alexa Enabled,Camera,Battery Life,Material,Manufacturer Part Number,Processor Number,Graphics
0,http://www.ebay.com/itm/BRAND-NEW-Amazon-Fire-Tablet-5th-Generation-8gb-TANGERINE-FREE-SHIPPING/132353853844?epid=222424442&hash=item1ed0e78994%3Ag%3A3kkAAOSw1VJZ160i,$44.95,New ListingBRAND NEW Amazon Fire Tablet 5th Generation 8gb TANGERINE FREE SHIPPING,https://i.ebayimg.com/images/g/3kkAAOSw1VJZ160i/s-l300.jpg,New,Amazon,"Built-In Front Camera, Built-In Rear Camera",does not apply,1.3GHz,Kindle Fire,1024 x 600,"7""",Quad Core,8GB,1GB,Orange,Tablet,Wi-Fi,Tangerine,841667103112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,http://www.ebay.com/itm/Kindle-Fire-HD-7-Display-16GB-Dual-Speaker-Dolby-Sound/132353862746?epid=1622589755&hash=item1ed0e7ac5a%3Ag%3AWjUAAOSwVaVZ156z,$20.00,"New ListingKindle Fire HD 7"" Display 16GB Dual Speaker Dolby Sound",https://i.ebayimg.com/images/g/WjUAAOSwVaVZ156z/s-l300.jpg,Used,Amazon,,Does Not Apply,,kindle fire hd,,"7""",,16GB,,Black,,Wi-Fi,,0848719037852,Gently used with minor scrapes or scratches.  Being sold as is no returns. Charging cord not included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://www.ebay.com/itm/Kindle-Fire-7-LCD-Display-Wi-Fi-8-GB-Previous-Generation-2nd-R/132353896305?hash=item1ed0e82f71%3Ag%3AU2IAAOSw7RdZ17o6,$48.99,"New ListingKindle Fire 7"", LCD Display, Wi-Fi, 8 GB (Previous Generation - 2nd),-R",https://i.ebayimg.com/images/g/U2IAAOSw7RdZ17o6/s-l300.jpg,Used,Amazon,LCD Display,,,kindle fire,,"7""",,8GB,,,Tablet,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://www.ebay.com/itm/Nexus-7-2nd-Generation-32GB-Wi-Fi-7in-Black-for-repair/132350646288?epid=168303745&hash=item1ed0b69810%3Ag%3ALnsAAOSwxu1Z1CKx,$57.85,Nexus 7 (2nd Generation) 32GB Wi-Fi 7in - Black - for repair,https://i.ebayimg.com/images/g/LnsAAOSwxu1Z1CKx/s-l300.jpg,For parts or not working,ASUS,,NEXUS7 -2B32,1.5GHz,nexus 7,1920 x 1200,7in.,Quad Core,32GB,2GB,Black,Tablet,Wi-Fi,Black,0886227537143,The Screen is broken. The touch screen doesn't work.  Please refer to the pictures for more details. Comes what you see in the pictures.,Snap Dragon,"Micro-USB, Wi-Fi",5 Megapixel,2 ChannelGB,microSD,Not Applicable,Micro USB,"Micro-USB, Wi-Fi",7.9in (20.07cm),4.5in (11.43cm),0.3in (0.76cm),0.63lb. (0.28kg),UP to 10hr.,"Multi-Touch 7 1920x1200 DisplayQualcomm Snapdragon S4 Pro 1.5GHz Quad-Core CPU2GB RAM & 32GB Flash StorageAndroid 4.3 Jelly BeanWith a stunning 1080p Full HD display, 5 MP rear camera, and built-in dual stereo speakers Nexus 7 brings you a premium entertainment experience.",Bluetooth,7 2nd Generation,7in (17.78cm),Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://www.ebay.com/itm/iPad-Pro-9-7inch-32GB-Space-Gray-MLMN2LL-A-Excellent-with-Warranty-May-2018/132353961399?epid=220433717&hash=item1ed0e92db7%3Ag%3AzVQAAOSwORVZ0SZy,$359.00,New ListingiPad Pro 9.7inch 32GB Space Gray MLMN2LL/A (Excellent with Warranty May 2018!),https://i.ebayimg.com/images/g/zVQAAOSwORVZ0SZy/s-l300.jpg,Used,Apple,,,,,,,,,,,,,,,Ships within 1 day. Excellent condition iPad Pro. Fully functional. Apple warranty until May 10th 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://www.ebay.com/itm/Apple-iPad-6TH-GEN-32-GB-MP2F211-A/132353981673?hash=item1ed0e97ce9%3Ag%3AXVQAAOSwAGlZ18rw,$320.00,New ListingApple iPad 6TH GEN 32 GB  MP2F211/A,https://i.ebayimg.com/images/g/XVQAAOSwAGlZ18rw/s-l300.jpg,Used,Apple,,,,IPAD 6TH GENERTION,,,,32GB,,Silver,Tablet,Wi-Fi,SILVER,Does not apply,COMES WITH APPLE LIGHTNING TO USB CABLE AND WALL PLUG.ITEM HAS A FEW SCRATCHES ON THE BACK AS SEEN IN THE PHOTOS. ITEM IN THE PHOTOS IS THE ITEM YOU WILL RECEIVE.,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://www.ebay.com/itm/iView-SupraPad-WiFi-7-Touchscreen-Tablet-PC-16G-Android-6-0-BLUE-769TPC/132351856365?epid=2079825135&hash=item1ed0c90eed%3Ag%3AOpIAAOSw6-BZ1VTu,$49.99,"iView SupraPad WiFi 7"" Touchscreen Tablet PC 16G Android 6.0  BLUE (769TPC)",https://i.ebayimg.com/images/g/OpIAAOSw6-BZ1VTu/s-l300.jpg,Used,iview,,769TPC,1.20GHz,,,"7""",Quad Core,16GB,1GB,Blue,Tablet,Wi-Fi,Blue,880010012145,SHOWS LIGHT SIGNS OF USE. All standard accessories included. Item works perfectly.,,,,,,Unlocked,,Wi-Fi,,,,,,,,,,Android 6.0.X Marshmallow,PC,Touch-Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://www.ebay.com/itm/KOCASO-DX758-PRO-7-Tablet-Bundle-8GB-Android-4-4-Black-Case-NEW/132354030732?hash=item1ed0ea3c8c%3Ag%3AdTEAAOSwScdZ19c0,$35.00,"New ListingKOCASO DX758 PRO 7"" Tablet Bundle 8GB Android 4.4 - Black + Case NEW",https://i.ebayimg.com/images/g/dTEAAOSwScdZ19c0/s-l300.jpg,New,KOCASO,,DX758 PRO,,,1024 x 600,7 inch,Quad Core,8GB,512MB,black,Tablet,Wi-Fi,,,,,,,,,,,,,,,,,,,,,Android 4.4.X Kit Kat,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://www.ebay.com/itm/Samsung-Galaxy-Tab-4-8-0-Wi-Fi-4G-LTE-t337a-AT-T-GSM-unlocked-used-White/132354030975?hash=item1ed0ea3d7f%3Ag%3Aul0AAOSwsXhZ0ng%7E,$99.99,New ListingSamsung Galaxy Tab 4 8.0 Wi-Fi + 4G LTE t337a (AT&T) GSM unlocked used White,https://i.ebayimg.com/images/g/ul0AAOSwsXhZ0ng~/s-l300.png,Seller refurbished,Samsung,,Does Not Apply,,galaxy tab 4,,"8""",,16GB,,White,Tablet,Wi-Fi + 4G,,,Excellent condition Barely Used,,,,,,AT&T,,,,,,,,,,,,android,,,,Without Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://www.ebay.com/itm/Apple-iPad-Air-2-128GB-Wi-Fi-9-7in-Silver/132354031561?epid=204278931&hash=item1ed0ea3fc9%3Ag%3AIUoAAOSwG7lZywSB,$221.46,"New ListingApple iPad Air 2 128GB, Wi-Fi, 9.7in - Silver",https://i.ebayimg.com/images/g/IUoAAOSwG7lZywSB/s-l300.jpg,Used,Apple,,MGTY2LL/A,1.5GHz,iPad Air 2,2048 x 1536,9.7in.,,128GB,2GB,Silver,Tablet,Wi-Fi,Silver,0888462026154,,Apple,"USB, Wi-Fi",8 Megapixel,2 ChannelGB,,Not Applicable,"Bluetooth, Lightning connector","USB, Wi-Fi",0.24in (0.61cm),9.4in (24cm),6.6in (16.95cm),0.96lb. (0.437kg),UP to 10hr.,"The Apple iPad Air 2 comes with user-friendly features and applications. From listening to music, watching videos, and playing games, to completing work-related activities, seamless multi-tasking is possible on this iPad. It features an LED-backlit multi-touch with IPS display and runs on iOS. For a smooth performance, the iPad Air 2 is driven by a 1.5 GHz processor. Capture images and videos with the 8 MP rear and 1.2 MP front cameras and store them on its 128 GB internal memory space.","Bluetooth, Built-In Front Camera, Built-In Rear Camera, Fingerprint Sensor, HD, Retina Display, Touch Screen",Wi-Fi,9.7in (24.64cm),iOS,"Mac, PC","Camera, Touch-Screen",,,LED-backlit Multi-Touch with IPS,Multi-Touch,1.2 Channel Megapixel,dual channel  (2.4GHz and 5GHz) and MIMO,Line In (3.5mm),Speaker(s),Rechargeable Lithium-Polymer,".ics, Audible Enhanced Audio, DOCX, GIF, JPG, MP3, MPEG-4, PCM, WAV",10/16/2014,Apple A8X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
