	ItemLink	Price	Name	Image	Condition	Seller Notes	Brand	Storage Capacity	Model	RAM	MPN	Processor	UPC	Internet Connectivity	Type	Hardware Connectivity	Operating System	Features	Screen Size	Carrier	Resolution	Bundled Items	Processor Manufacturer	Processor Type	Display Tech	Touch Screen Technology	Rear Camera Resolution	Front Camera Resolution	Installed RAM	Expansion Ports	PC Interface	Height	Product Line	Width	Depth	Color	Weight	Product Information	Battery Technology	Battery Run Time	Input Method	Display Size	Platform	Release Date	Supported File Types	Special Features	Exterior Color	Contract	Colour	Bundle Listing	Country/Region of Manufacture	Expandability	Rear Camera Megapixels	Front Camera Megapixels	Screen Resolution	Functional Digitizer	Memory Size	Manufacturer Part Number	Manufacturer	Processor Speed	Fast Fulfillment	Wireless capabilities	Audio Input	Audio Output	EAN	Interface	Max. Video Resolution	Data Link Protocol	Networking Type	Body Material	Content	Battery Information	Battery Life (Hour)	Dimensions (WxHxD)	Display Color	Product Interface	Screen Type	Support Type	Display Color Support	Manufacturer warranty	Memory (RAM)	Display Max. Resolution	Cosmetic condition	No accessories	Operating System Edition	Storage Type	Graphics Processing Type	Touch panel	Other Software	Hard Drive Capacity	Manufacturer Part number	Band	OS	RAM 3GB	Screen resolution	Battery Capacity(mAh)	Screen size	CPU Qualcomm	Screen type	Dual cameras	GPU Adreno 506	WiFi,GPS,Bluetooth 4.0	Languages	Country//Region of Manufacture	CPU	Multi-touch	Continuous Usage Time	Battery Standby	Video Resolution	Delivery Time	Tags	Size	Max Supported RAM	Charger and cable	ISBN	RAM 4GB	Core	CPU Brand	Single camera	GPU	Mini HDMI,DC Jack	WiFi,Bluetooth	Note	Headphones	Camera type	Network type	Support Network	RAM Technology	Bottoms Size (Women's)	Bottoms Size (Men's)	Size (Women's)	US Shoe Size (Men's)	Underwear Size	Cup Size	Band Size	Trouser Size	Size (Men's)	Style	Hosiery Size	Screen Material	ROM	External Memory	Storage Controller Type	Plug Type	Voltage	ScreenSize	Designer/Brand	Monitor Screen Size	Manufacturer Warranty	Warranty - Parts	Warranty - Labor	Dilivery Time	Security Features	Processor Number	OS System	RAM 2GB	Battery Capacity	CPU RK3288	IPS	Hard Drive	Wireless Type	Size Type	Number of USB 2.0 Ports	Average Battery Life (in hours)	Original box	File format	Connectivity	Power	USB charging time	Language	Display	Warranty	Thread	Lithography	Instruction set	Memory types	Product positioning	Flash description	Processor series	Shell material	Processor Base Frequency	Burst Frequency	SD Card Slot	Slot SIm	Battery	Standard Memory	SKU	Flash Memory Capacity	Graphics Controller Model	Product Type	Bluetooth	Processor Model	Aspect Ratio	Weight (Approximate)	Processor Core	Focus Modes	Form Factor	Sensor Type	Publisher	Charger	Memory	Brand Name	Age Group	Optical Drive Type	Memory Card Supported	Wireless LAN	Wireless LAN Standard	Front Camera/Webcam	Operating System Platform	Digital storage capacity	Offer type	Hard Disk Memory	Battery Type	Graphics Chipset	WIFI	Touchscreen	Display Screen Technology	USB	Contract Type	Maximum Memory Card Size Supported	Built-in Memory	Built-in Flash	Graphic Processor	Rear Camera	Number of Cells	Product Series	GPU memory	Power management chip	Process	Weight Unit Of Measure	Dimensions Unit Of Measure	Internet	Wireless	Dimensions	3G	Screen	Camera	G-sensor	GPS	Storage	Marca	HardwarePlatform	OperatingSystem	Binding	ProductGroup	Supported Formats	Expandabel Storage	Manufactured Country	PID	Number of Cores	Cellular Radio System Type	WAREHOUSE LOCATION	TIME LISTED	RAM Installed Size	Max Resolution	Pointing Device	Installed Cache Memory	Installed Video Memory	Compatible Product Line	Material	Gender	ShippingWeight	Compatible Model	Compatible Brand	Extension Card	Processor Type/CPU Type	camera	Games	Long Battery Run Time	Wireless Connection	Bluetooth,IPS,WiFi	Country of Manufacture	Support Extend Card	WiFi,Bluetooth,	Product ID	3G / 4G Support	Camera Resolution	Capacity	Model Number	Category	Language Supported	RAM+ROM	Li-ion polymer battery	Memory Capacity	Operating system	Cell Capacity	Display Resolution	System	Item Condition	Tablet Data Capacity	label	Cellular Band	Memory Card Type	Lock Status	Gravity Sensing System	CPU Brand Intel	Card slot	Item Weight	Product Dimensions	Item Dimensions  L x W x H	Item model number	Network	4G Network	Google Play	Back camera	Front camera	Material of back cover	Item Type	Teclast Model	Touch Screen Type	Net Weight	Network Communiction	Display resolution	Second Webcam Pixels	Extend Port	Supporting Language	Feature	Other Model	External Storage	Panel Type	Front Camera	Onda Model	GSM Mode	Shell Material	Size/Weight	Processor Manufacture	Package	black	Support	Modem Type	Analog Modulation Protocol	Bus Speed	KINDLE Model	Marque	Couleur	Numéro de pièce fabricant	Système d'exploitation	CUP	Résolution	Opérateur	Abonnement	Capacité de stockage	Audio Format	Photo Viewer	Video Format	WiFi	CPU Frequency	Flash	Wireless Card	Signal	QUALITY TABLET	Charge Mode	Working Time	Charge Time	Plug	Camera Features	Audio Features	Resolution (pixels)	RESERVED_PRODUCT_TITLE
0	http://www.ebay.com/itm/NEW-10-1-Tablet-PC-Android-6-0-Quad-Core-16GB-10-Inch-HD-WIFI-2-SIM-3G-Phablet/371896185624?hash=item5696bd7318%3Am%3Am_9cr80OgdR5K_faMMEgajg&var=	$79.66 to $89.99	NEW 10.1'' Tablet PC Android 6.0 Quad Core 16GB 10 Inch HD WIFI 2 SIM 3G Phablet	https://i.ebayimg.com/images/g/rH4AAOSwdDtZsL73/s-l300.jpg	New other (see details)	Tablet PC+Smart Phone 2 SIM 3G Phablet Unlocked Black/Silver/Gold/Rose Gold Newest Android 6.0 Marshmallow Good Quality 1 Year Warranty	Unbranded/Generic	16GB	B960/T1005	1GB	B0-00467-00	Quad Core	Does not apply	Wi-Fi + 3G	Tablet	Bluetooth	Android 6.0.X Marshmallow	Built-In Front Camera, Built-In Rear Camera, Colour Screen, File Browsing, Media Player, MP3 Player, Touch Screen, Web Browser	10.1in.	Unlocked	1280 x 800																																																																																																																																																																																																																																																																																																																																																		
1	http://www.ebay.com/itm/10-inch-Google-Android-6-0-Tablet-PC-4Core-3G-2SIM-GPS-Unlocked-10-1-Keyboard/272650717621?hash=item3f7b3fc9b5%3Am%3Am-g3jXZJRcKL0O9UJe0IqYg&var=	$89.99	10 inch Google Android 6.0 Tablet PC 4Core 3G 2SIM GPS Unlocked 10.1'' Keyboard	https://i.ebayimg.com/images/g/PLcAAOSw2iNZZDMW/s-l400.jpg	New other (see details)	Bundled Keyboard Case Tablet PC+Smart Phone 2 SIM 3G Phablet Unlocked Newest Android 6.0 GPS IPS	Unbranded/Generic	16GB	B960/T1005	1GB	B0-00467-00-K-00	Quad Core	Does not apply	Wi-Fi + 3G	Tablet	Bluetooth	Android 6.0.X Marshmallow		10.1in.	Unlocked	1280 x 800	Keyboard																																																																																																																																																																																																																																																																																																																																																	
2	http://www.ebay.com/itm/Apple-iPad-Pro-12-9-With-Retina-Display-Wi-Fi-Only-128GB-Space-Gray/322548912577?epid=216598778&hash=item4b1969d1c1%3Ag%3AfBQAAOSw3YJZUmoA	$649.99	Apple iPad Pro 12.9' With Retina Display ( Wi-Fi Only, 128GB Space Gray) 	https://i.ebayimg.com/images/g/fBQAAOSw3YJZUmoA/s-l400.jpg	New other (see details)	This item is an open box unit. The ipad does not show any sign of use.No scratches or blemishes. It includes the original retail box (which may be slightly damaged) and all original Apple accessories.We offer FAST&amp;FREE priority shipping .	Apple	128GB	Wi-Fi	4GB	ML0N2LL/A	Dual Core	0888462520881	Wi-Fi	Tablet	Wi-Fi	iOS		12.9in.	Not Applicable	2732 x 2048		Apple	Apple A9X	LED-backlit Multi-Touch with IPS	Multi-Touch	8 Megapixel	1.2 Channel Megapixel	4GB	Bluetooth	Wi-Fi	0.27in (0.69cm)	iPad Pro	12in (30.57cm)	8.68in (22.06cm)	Gray	1.57lb. (0.71kg)	Combining power with ease of use, this versatile Apple iPad Pro ML0R2LL tablet is lighter than a laptop computer, easier to carry, and quickly starts up when needed, making it a great choice for web browsing when you're away from home or the office. As famous as the brand he helped to create, co-founder Steve Jobs brought innovative and new ideas to Apple, developing devices that excite and inspire its users. A massive 128 GB storage capacity rivals some laptops on the market and can safely store hours of digital media while still leaving room for thousands of photos. Featuring the impressive Apple iOS operating system, this tablet easily connects to compatible cellphones, computers and even televisions for simple file sharing and streaming. Reading a diverse range of digital publications and viewing HD video is comfortable on this 12.9 in / 32.8 cm screen, making it ideal for both home and office use. The tablet's screen has a resolution of 2732 x 2048 pixels, making viewing HD movies and TV shows and reading a variety of publications an enjoyable experience. Used with video calling services like Skype and FaceTime, the tablet's front camera offers an easy way to stay in touch face-to-face. This tablet is Wi-Fi enabled, so you don’t always have to be at stuck at home to download eBooks.	Rechargeable Lithium-Polymer	UP to 10hr.	Camera, Touch-Screen	12.9in (32.77cm)	Mac, PC	9/9/2015	.ics, DOC, DOCX, GIF, HTM, HTML, JPG, Numbers, PDF, PPT, PPTX, Pages, RTF, TIFF, TXT, VCF, XLS, XLSX, ZIP	Antireflective coating, Built-In Front Camera, Fingerprint Sensor, HD Compatible, Retina Display, Touch Screen	Space Gray																																																																																																																																																																																																																																																																																																																								
3	http://www.ebay.com/itm/2016-NEW-Kobo-Aura-One-eReader-Wi-Fi-7-8-8-GB-Soft-Black-Latest-Model/191999733996?epid=2254402109&hash=item2cb41370ec%3Ag%3AEZkAAOSwmLlYBY5V	$230.99	2016 NEW Kobo Aura One eReader Wi-Fi 7.8'' 8 GB Soft Black Latest Model	https://i.ebayimg.com/images/g/EZkAAOSwmLlYBY5V/s-l400.jpg	New		Kobo	8GB			N709-KJ-BK-S-EP		4560470102780	Wi-Fi	eBook Reader				7.85in.														Aura			Soft Black																																																																																																																																																																																																																																																																																																																																			
4	http://www.ebay.com/itm/10-1-inch-Android-Tablet-7-0-4GB-RAM-32GB-ROM-Octa-Core-3G-Wifi-Leather-case/122707862984?hash=item1c91f565c8%3Ag%3AEl8AAOSwOhVZrJSM	$124.18	10.1 inch Android Tablet 7.0 4GB RAM 32GB ROM Octa Core 3G Wifi +Leather case 	https://i.ebayimg.com/images/g/El8AAOSwOhVZrJSM/s-l400.jpg	New		BMXC	32GB	Android tablet	4GB		Octa Core		Wi-Fi + 4G	Tablet	Bluetooth, USB 1.0/1.1, USB 2.0	Android 7.X Nougat	Backlight, Bluetooth, Built-In Front Camera, Built-In Keyboard, Built-In Rear Camera, Colour Screen, Email, Expandable Memory, External 3G Support, MP3 Player, Touch Screen	"10"""	Unlocked	1280 x 800																											Not Applicable	Gold	Yes																																																																																																																																																																																																																																																																																																																					
5	http://www.ebay.com/itm/Quad-Core-7-Tablet-8GB-HD-Android-4-4-KitKat-Dual-Camera-WiFi-Bundle-for-Kids/351906200472?hash=item51ef3e7b98%3Am%3AmQ26aZbnkiFSd-gi8O8ekSQ&var=	$10.99 to $39.99	Quad Core 7'' Tablet 8GB HD Android 4.4 KitKat Dual Camera WiFi Bundle for Kids	https://i.ebayimg.com/images/g/9J8AAOSw241YYHl5/s-l400.jpg	New other (see details)	Free cover + Free touch pen	Original Q88 kids tablet	8GB			Does Not Apply			Wi-Fi	Tablet	USB 2.0, Wi-Fi	Android 4.4.X Kit Kat	Backlight, Built-In Front Camera, Built-In Projector, Built-In Rear Camera, Color Screen, Email, Expandable Memory, External 3G Support, HD Compatible, Media Player, MP3 Player, Touch Screen, Video Recorder, Web Browser	"7"""	Unlocked													WAVEFULL															Without Contract			China																																																																																																																																																																																																																																																																																																																				
6	http://www.ebay.com/itm/SAMSUNG-GALAXY-TAB-E-LITE-SM-T113-8GB-Wi-Fi-7-WHITE-GPS-NOOK-TABLET/142094566728?epid=232038807&hash=item21157f0548%3Ag%3ArMMAAOSwV0RXthRc	$69.95	"SAMSUNG GALAXY TAB E LITE SM-T113 8GB Wi-Fi 7"" WHITE GPS NOOK TABLET"	https://i.ebayimg.com/images/g/rMMAAOSwV0RXthRc/s-l400.jpg	Manufacturer refurbished	NEW OPEN BOX CUSTOMER RETURN-FULLY TESTED AND COMPLETE-MAY SOME MINOR SIGNS OF HANDLING-REPACKED IN NO OEM BOX	Samsung	8GB	SM-T113	1GB	SM-T113NDWAXAR	Quad Core	0887276095721	Wi-Fi	Tablet	Micro-USB	Android	Backlight, Bluetooth, Built-In Keyboard, Built-In Rear Camera, Color Screen, Email, Expandable Memory, External 3G Support, File Browsing, LCD Display, Media Player, MP3 Player, Touch Screen, Web Browser	7in.	Not Applicable	1024 x 600						2 Channel Megapixel				Micro-USB					White	0.68lb. (0.31kg)	The Samsung Galaxy Tab E Lite is a 7-inch tablet with a quad core processor, 1.3 gHz speed and a max resolution of 1024x600, making it perfect to stream movies, play games, and more. It has an 8 GB internal hard drive that can be extensible, thanks to its micro-USB. It also allows users to connect to wi-fi networks and has a 2-megapixel camera.		UP to 9hr.		7in (17.78cm)					White	Not Applicable			Vietnam	microSD																																																																																																																																																																																																																																																																																																																			
7	http://www.ebay.com/itm/Kobo-Aura-Digital-eBook-Reader-4-GB-6-inch-Screen-With-Touchscreen-Backlight/272125740867?hash=item3f5bf54743%3Am%3AmHcVRpMDOjHUogBCEH52XdA&var=	$55.95	Kobo Aura Digital eBook Reader 4 GB 6 inch Screen With Touchscreen Backlight	https://i.ebayimg.com/images/g/HhQAAOSw44BYflZM/s-l400.jpg	Used	Used very good. It may show signs of wear from handling, but guaranteed to work	Kobo	4GB			N514KUBKKEP				eBook Reader				"6"""																																																																																																																																																																																																																																																																																																																																																				
8	http://www.ebay.com/itm/Nexus-7-32GB-4G-Kali-Nethunter-3-15-Wifi-Hacking-Security-Pentesting-Mr-Robot/272857966988?hash=item3f879a298c%3Ag%3ANg0AAOSwll1WyUve	$64.00	Nexus 7 32GB+ 4G Kali Nethunter 3.15 Wifi Hacking Security Pentesting Mr. Robot	https://i.ebayimg.com/images/g/Ng0AAOSwll1WyUve/s-l400.jpg	Seller refurbished			32GB					Does not apply																				Nexus 7																																																																																																																																																																																																																																																																																																																																						
9	http://www.ebay.com/itm/Kobo-Touch-eReader-905-2GB-WiFi-6-4-Colors/281932346147?hash=item41a47a3323%3Am%3Am5tbqUppXoqMJQnGqVf_liA&var=	$33.95	"Kobo Touch eReader 905 2GB, WiFi, 6"" 4 Colors"	https://i.ebayimg.com/images/g/aS4AAOSwYlRZHKCj/s-l400.jpg	Used	Excellent Condition. Guaranteed to work	Kobo			2GB	Does Not Apply			Wi-Fi	eBook Reader				"6"""																																																																																																																																																																																																																																																																																																																																																				
